SNP	SNP_Chr	SNP_Start	Number_genes	List_genes
rs2697806_G	chr2	233360507	18	A_23_P136355, A_23_P258689, A_23_P123402, A_24_P148811, A_23_P76823, A_23_P111194, A_23_P379789, A_23_P97853, A_23_P42087, A_23_P121120, A_23_P77103, A_23_P28186, A_23_P94840, A_23_P92562, A_32_P206899, A_24_P186608, A_23_P33583, A_23_P326893
rs2991408_A	chr13	67900750	9	A_23_P256455, A_23_P21673, A_32_P453321, A_23_P61127, A_23_P155236, A_23_P5211, A_23_P99579, A_23_P65278, A_23_P77714
kgp3700677_G	chr8	3921805	7	A_24_P252846, A_32_P453321, A_24_P626931, A_23_P129188, A_23_P41194, A_32_P140030, A_23_P28023
rs10280625_C	chr7	41075387	7	A_23_P384635, A_24_P284353, A_32_P453321, A_23_P129188, A_23_P331560, A_23_P123402, A_23_P571
rs11045_T	chr15	96883321	7	A_23_P31407, A_23_P218675, A_32_P453321, A_23_P95594, A_23_P117274, A_23_P99579, A_23_P130343
rs4147268_T	chr1	217084292	5	A_23_P502957, A_23_P55632, A_32_P141418, A_23_P502413, A_23_P329340
rs2991389_C	chr13	67883743	4	A_23_P330461, A_23_P218675, A_23_P108157, A_24_P684183
rs1152843_T	chr3	188430230	3	A_24_P48587, A_23_P4714, A_23_P129188
kgp2031814_G	chr8	116650468	3	A_23_P138480, A_23_P103905, A_23_P95594
kgp11583676_A	chr2	6836803	2	A_23_P83200, A_23_P153867
rs4832868_A	chr4	37069574	2	A_23_P64372, A_23_P138480
kgp7015129_A	chr3	188415807	2	A_23_P4714, A_23_P129188
rs10875551_A	chr5	149173134	2	A_23_P386254, A_23_P319859
rs9571757_A	chr13	67905237	2	A_23_P86100, A_24_P44514
rs1251484_A	chr1	76504146	2	A_24_P44514, A_23_P129188
kgp6539253_C	chr17	66478316	1	A_23_P14035
rs11061079_T	chr12	131161445	1	A_23_P138480
rs4676866_A	chr3	72273331	1	A_32_P175715
rs2674948_A	chr17	13070021	1	A_23_P35219
kgp6564839_T	chr7	22007489	1	A_23_P141992
kgp592086_G	chr1	76522680	1	A_24_P44514
kgp1320229_A	chr1	76517472	1	A_24_P44514
kgp10371176_G	chr1	76518132	1	A_24_P44514
kgp7170224_T	chr1	76526867	1	A_24_P44514
kgp1376729_C	chr1	76527296	1	A_24_P44514
kgp5996166_T	chr1	76480114	1	A_24_P44514
