SNP	SNP_Chr	SNP_Start	SNP_BIOLOGY
kgp4175769_G	chr14	35178297	"KIAA0391 Description: Homo sapiens KIAA0391 (KIAA0391), transcript variant 5, mRNA. FUNCTION: Functions in mitochondrial tRNA maturation. Part of mitochondrial ribonuclease P, an enzyme composed of MRPP1/TRMT10C, MRPP2/HSD17B10 and MRPP3/KIAA0391, which cleaves tRNA molecules in their 5'-ends."
rs2844452_C	chr6	31882024	"EHMT2 RefSeq Summary (NM_001289413): This gene encodes a methyltransferase that methylates lysine residues of histone H3. Methylation of H3 at lysine 9 by this protein results in recruitment of additional epigenetic regulators and repression of transcription. This gene was initially thought to be two different genes, NG36 and G9a, adjacent to each other in the HLA locus. Alternative splicing results in multiple transcript variants."
kgp5978297_C	chr8	105391381	"ZFPM2 RefSeq Summary (NM_012082): The zinc finger protein encoded by this gene is a widely expressed member of the FOG family of transcription factors. The family members modulate the activity of GATA family proteins, which are important regulators of hematopoiesis and cardiogenesis in mammals. It has been demonstrated that the protein can both activate and down-regulate expression of GATA-target genes, suggesting different modulation in different promoter contexts. A related mRNA suggests an alternatively spliced product but this information is not yet fully supported by the sequence."
kgp8203278_C	chr9	23239113	U91108
kgp9953559_G	chr3	190558644	"IL1RAP RefSeq Summary (NM_002182): Interleukin 1 induces synthesis of acute phase and proinflammatory proteins during infection, tissue damage, or stress, by forming a complex at the cell membrane with an interleukin 1 receptor and an accessory protein. This gene encodes the interleukin 1 receptor accessory protein. The protein is a necessary part of the interleukin 1 receptor complex which initiates signalling events that result in the activation of interleukin 1-responsive genes. Alternative splicing of this gene results in two transcript variants encoding two different isoforms, one membrane-bound and one soluble. The ratio of soluble to membrane-bound forms increases during acute-phase induction or stress."
kgp11194278_A	chr16	59007394	RP11-410D17.2
kgp481706_T	chr7	81880888	NA
rs8061907_G	chr16	83016516	"CDH13 RefSeq Summary (NM_001257): This gene encodes a member of the cadherin superfamily. The encoded protein is localized to the surface of the cell membrane and is anchored by a GPI moiety, rather than by a transmembrane domain. The protein lacks the cytoplasmic domain characteristic of other cadherins, and so is not thought to be a cell-cell adhesion glycoprotein. This protein acts as a negative regulator of axon growth during neural differentiation. It also protects vascular endothelial cells from apoptosis due to oxidative stress, and is associated with resistance to atherosclerosis. The gene is hypermethylated in many types of cancer. Alternative splicing results in multiple transcript variants encoding different isoforms. TISSUE SPECIFICITY: Highly expressed in heart. In the CNS, expressed in cerebral cortex, medulla, hippocampus, amygdala, thalamus and substantia nigra. No expression detected in cerebellum or spinal cord."
rs9830737_G	chr3	190537545	"IL1RAP RefSeq Summary (NM_001167929): Interleukin 1 induces synthesis of acute phase and proinflammatory proteins during infection, tissue damage, or stress, by forming a complex at the cell membrane with an interleukin 1 receptor and an accessory protein. This gene encodes the interleukin 1 receptor accessory protein. The protein is a necessary part of the interleukin 1 receptor complex which initiates signalling events that result in the activation of interleukin 1-responsive genes. Alternative splicing of this gene results in two transcript variants encoding two different isoforms, one membrane-bound and one soluble. The ratio of soluble to membrane-bound forms increases during acute-phase induction or stress.TISSUE SPECIFICITY: Detected in liver, skin, placenta, thymus and lung."
kgp1256891_A	chr3	69143598	AF147337; JD222753
kgp1404116_A	chr4	17475104	"QDPR RefSeq Summary (NM_000320): This gene encodes the enzyme dihydropteridine reductase, which catalyzes the NADH-mediated reduction of quinonoid dihydrobiopterin. This enzyme is an essential component of the pterin-dependent aromatic amino acid hydroxylating systems. Mutations in this gene resulting in QDPR deficiency include aberrant splicing, amino acid substitutions, insertions, or premature terminations. Dihydropteridine reductase deficiency presents as atypical phenylketonuria due to insufficient production of biopterin, a cofactor for phenylalanine hydroxylase."
rs4876063_T	chr8	1418574	NA
kgp6877272_G	chr6	154630438	mRNA JD127745
rs618555_T	chr1	86481084	"CLCA1 Description: May be involved in mediating calcium-activated chloride conductance. May play critical roles in goblet cell metaplasia, mucus hypersecretion, cystic fibrosis and AHR. May be involved in the regulation of mucus production and/or secretion by goblet cells. Involved in the regulation of tissue inflammation in the innate immune response. May play a role as a tumor suppressor. Induces MUC5AC. TISSUE SPECIFICITY: Highly expressed in small intestine and colon namely in intestinal basal crypt epithelia and goblet cells, and appendix. Weakly expressed in uterus, testis and kidney. Expressed in the airways epithelium of both asthmatic and healthy patients. Expressed in the bronchial epithelium, especially in mucus- producing goblet cells. Expressed in normal turbinate mucosa and nasal polyp."
kgp1100673_G	chr11	1146678	NA
