SNP	SNP_Chr	SNP_Start	Number_genes	SNP_BIO
kgp6246477_G	chr20	32737218	2	COMMD7 Description: Homo sapiens COMM domain containing 7 (COMMD7), transcript variant 1, mRNA. TISSUE SPECIFICITY: Widely expressed with highest expression in lung.
rs10762569_C	chr10	53877006	2	PCDH15 RefSeq Summary (NM_001142772): This gene is a member of the cadherin superfamily. Family members encode integral membrane proteins that mediate calcium-dependent cell-cell adhesion. It plays an essential role in maintenance of normal retinal and cochlear function. Mutations in this gene result in hearing loss and Usher Syndrome Type IF (USH1F). Extensive alternative splicing resulting in multiple isoforms has been observed in the mouse ortholog. Similar alternatively spliced transcripts are inferred to occur in human, and additional variants are likely to occur.
kgp6129854_T	chr10	53889620	2	PCDH15 RefSeq Summary (NM_001142772): This gene is a member of the cadherin superfamily. Family members encode integral membrane proteins that mediate calcium-dependent cell-cell adhesion. It plays an essential role in maintenance of normal retinal and cochlear function. Mutations in this gene result in hearing loss and Usher Syndrome Type IF (USH1F). Extensive alternative splicing resulting in multiple isoforms has been observed in the mouse ortholog. Similar alternatively spliced transcripts are inferred to occur in human, and additional variants are likely to occur.
rs1785864_A	chr11	104955489	2	CASP4 RefSeq Summary (NM_033306): This gene encodes a protein that is a member of the cysteine-aspartic acid protease (caspase) family. Sequential activation of caspases plays a central role in the execution-phase of cell apoptosis. Caspases exist as inactive proenzymes composed of a prodomain and a large and small protease subunit. Activation of caspases requires proteolytic processing at conserved internal aspartic residues to generate a heterodimeric enzyme consisting of the large and small subunits. This caspase is able to cleave and activate its own precursor protein, as well as caspase 1 precursor. When overexpressed, this gene induces cell apoptosis. Alternative splicing results in transcript variants encoding distinct isoforms.
rs6059692_C	chr20	32746203	1	AB208880; JD058516
kgp1987981_T	chr20	32738612	1	COMMD7 Description: Homo sapiens COMM domain containing 7 (COMMD7), transcript variant 1, mRNA. TISSUE SPECIFICITY: Widely expressed with highest expression in lung.
rs10762562_C	chr10	53855492	1	PCDH15 RefSeq Summary (NM_001142772): This gene is a member of the cadherin superfamily. Family members encode integral membrane proteins that mediate calcium-dependent cell-cell adhesion. It plays an essential role in maintenance of normal retinal and cochlear function. Mutations in this gene result in hearing loss and Usher Syndrome Type IF (USH1F). Extensive alternative splicing resulting in multiple isoforms has been observed in the mouse ortholog. Similar alternatively spliced transcripts are inferred to occur in human, and additional variants are likely to occur.
kgp6226708_T	chr6	53894790	1	LRRC1 Description: Homo sapiens leucine rich repeat containing 1 (LRRC1), mRNA. TISSUE SPECIFICITY: Expressed strongly in testis and placenta, followed by heart, lung, kidney, thyroid, trachea, colon, prostate and pancreas.
rs2478894_A	chr9	126905188	1	HQ448298; KJ893376
rs3823034_A	chr6	52455546	1	EFHC1 RefSeq Summary (NM_001172420): This gene encodes an EF-hand-containing calcium binding protein. The encoded protein likely plays a role in calcium homeostasis. Mutations in this gene have been associated with susceptibility to juvenile myoclonic epilepsy and juvenile absence epilepsy. Alternatively spliced transcript variants have been described.
rs4436447_A	chr1	217070040	1	ESRRG RefSeq Summary (NM_206595): This gene encodes a member of the estrogen receptor-related receptor (ESRR) family, which belongs to the nuclear hormone receptor superfamily. All members of the ESRR family share an almost identical DNA binding domain, which is composed of two C4-type zinc finger motifs. The ESRR members are orphan nuclear receptors; they bind to the estrogen response element and steroidogenic factor 1 response element, and activate genes controlled by both response elements in the absence of any ligands. The ESRR family is closely related to the estrogen receptor (ER) family. They share target genes, co-regulators and promoters, and by targeting the same set of genes, the ESRRs seem to interfere with the ER-mediated estrogen response in various ways. It has been reported that the family member encoded by this gene functions as a transcriptional activator of DNA cytosine-5-methyltransferases 1 (Dnmt1) expression by direct binding to its response elements in the DNMT1 promoters, modulates cell proliferation and estrogen signaling in breast cancer, and negatively regulates bone morphogenetic protein 2-induced osteoblast differentiation and bone formation. Multiple alternatively spliced transcript variants have been identified, which mainly differ at the 5' end and some of which encode protein isoforms differing in the N-terminal region. TISSUE SPECIFICITY: Expressed in the heart, kidney, brain, lung, bone marrow, adrenal gland, trachea, spinal cord and thyroid gland.
