SNP	SNP_Chr	SNP_Start	SNP_BIOLOGY
rs587985_C	chr11	119244095	CBL RefSeq Summary (NM_005188): This gene is a proto-oncogene that encodes a RING finger E3 ubiquitin ligase. The encoded protein is one of the enzymes required for targeting substrates for degradation by the proteasome. This protein mediates the transfer of ubiquitin from ubiquitin conjugating enzymes (E2) to specific substrates. This protein also contains an N-terminal phosphotyrosine binding domain that allows it to interact with numerous tyrosine-phosphorylated substrates and target them for proteasome degradation. As such it functions as a negative regulator of many signal transduction pathways. This gene has been found to be mutated or translocated in many cancers including acute myeloid leukaemia. Mutations in this gene are also the cause of Noonan syndrome-like disorder.
rs6796037_T	chr3	67657497	"SUCLG2-AS1 Description: Homo sapiens SUCLG2 antisense RNA 1 (head to head) (SUCLG2-AS1), transcript variant 1, long non-coding RNA. "
rs9814167_C	chr3	67660908	"SUCLG2-AS1 Description: Homo sapiens SUCLG2 antisense RNA 1 (head to head) (SUCLG2-AS1), transcript variant 1, long non-coding RNA. "
rs9877255_C	chr3	67663925	"SUCLG2-AS1 Description: Homo sapiens SUCLG2 antisense RNA 1 (head to head) (SUCLG2-AS1), transcript variant 1, long non-coding RNA."
kgp7153288_G	chr3	67664495	"SUCLG2-AS1 Description: Homo sapiens SUCLG2 antisense RNA 1 (head to head) (SUCLG2-AS1), transcript variant 1, long non-coding RNA."
kgp5949467_C	chr1	244877560	JD510914; JD136319
kgp6895866_G	chr5	178642766	NA
kgp2316943_G	chr1	244875243	JD510914; JD102155; JD136319
kgp4461600_G	chr5	178642610	NA
rs4721981_C	chr7	21164766	NA
kgp9300579_A	chr10	53859544	"PCDH15 RefSeq Summary (NM_001142772): This gene is a member of the cadherin superfamily. Family members encode integral membrane proteins that mediate calcium-dependent cell-cell adhesion. It plays an essential role in maintenance of normal retinal and cochlear function. Mutations in this gene result in hearing loss and Usher Syndrome Type IF (USH1F). Extensive alternative splicing resulting in multiple isoforms has been observed in the mouse ortholog. Similar alternatively spliced transcripts are inferred to occur in human, and additional variants are likely to occur."
rs1785864_A	chr11	104955489	"CASP4 RefSeq Summary (NM_033306): This gene encodes a protein that is a member of the cysteine-aspartic acid protease (caspase) family. Sequential activation of caspases plays a central role in the execution-phase of cell apoptosis. Caspases exist as inactive proenzymes composed of a prodomain and a large and small protease subunit. Activation of caspases requires proteolytic processing at conserved internal aspartic residues to generate a heterodimeric enzyme consisting of the large and small subunits. This caspase is able to cleave and activate its own precursor protein, as well as caspase 1 precursor. When overexpressed, this gene induces cell apoptosis. Alternative splicing results in transcript variants encoding distinct isoforms."
rs10762562_C	chr10	53855492	"PCDH15 RefSeq Summary (NM_001142772): This gene is a member of the cadherin superfamily. Family members encode integral membrane proteins that mediate calcium-dependent cell-cell adhesion. It plays an essential role in maintenance of normal retinal and cochlear function. Mutations in this gene result in hearing loss and Usher Syndrome Type IF (USH1F). Extensive alternative splicing resulting in multiple isoforms has been observed in the mouse ortholog. Similar alternatively spliced transcripts are inferred to occur in human, and additional variants are likely to occur."
rs2478894_A	chr9	126905188	HQ448298; KJ893376
rs3823034_A	chr6	52455546	EFHC1 RefSeq Summary (NM_001172420): This gene encodes an EF-hand-containing calcium binding protein. The encoded protein likely plays a role in calcium homeostasis. Mutations in this gene have been associated with susceptibility to juvenile myoclonic epilepsy and juvenile absence epilepsy. Alternatively spliced transcript variants have been described.
rs1699081_G	chr11	104958571	"CASP4 RefSeq Summary (NM_033306): This gene encodes a protein that is a member of the cysteine-aspartic acid protease (caspase) family. Sequential activation of caspases plays a central role in the execution-phase of cell apoptosis. Caspases exist as inactive proenzymes composed of a prodomain and a large and small protease subunit. Activation of caspases requires proteolytic processing at conserved internal aspartic residues to generate a heterodimeric enzyme consisting of the large and small subunits. This caspase is able to cleave and activate its own precursor protein, as well as caspase 1 precursor. When overexpressed, this gene induces cell apoptosis. Alternative splicing results in transcript variants encoding distinct isoforms."
rs1792753_T	chr11	104930676	NA
rs17740112_G	chr18	33791013	NA
kgp3700677_G	chr8	3921805	CSMD1 Description: The sequence shown here is derived from an Ensembl automatic analysis pipeline and should be considered as preliminary data.
rs525770_C	chr13	96719729	"HS6ST3 RefSeq Summary (NM_153456): Heparan sulfate (HS) sulfotransferases, such as HS6ST3, modify HS to generate structures required for interactions between HS and a variety of proteins. These interactions are implicated in proliferation and differentiation, adhesion, migration, inflammation, blood coagulation, and other diverse processes."
kgp2031814_G	chr8	116650468	"EIF3H Description: Homo sapiens eukaryotic translation initiation factor 3, subunit H (EIF3H), mRNA. "
kgp11583676_A	chr2	6836803	NRIR RefSeq Summary (NR_126359): This gene is thought to produce a functional long non-coding RNA. This transcript may be a negative regulator of interferon response. 
rs475882_G	chr13	96610811	"HS6ST3 RefSeq Summary (NM_153456): Heparan sulfate (HS) sulfotransferases, such as HS6ST3, modify HS to generate structures required for interactions between HS and a variety of proteins. These interactions are implicated in proliferation and differentiation, adhesion, migration, inflammation, blood coagulation, and other diverse processes (Habuchi et al., 2000 [PubMed 10644753])"
rs10875366_A	chr1	101757864	M87901
kgp5872307_T	chr3	21870470	AK310298
rs1557397_C	chr18	75086743	NA
kgp5237943_C	chr2	133349643	NCKAP5 The sequence shown here is derived from an Ensembl automatic analysis pipeline and should be considered as preliminary data.
kgp7135561_G	chr11	10392568	CAND1.11
rs3826607_T	chr18	33766760	NA
kgp4164025_A	chr8	116664938	"EIF3H Description: Homo sapiens eukaryotic translation initiation factor 3, subunit H (EIF3H), mRNA."
rs992617_G	chr8	17996495	"PCM1 RefSeq Summary (NM_006197): The protein encoded by this gene is a component of centriolar satellites, which are electron dense granules scattered around centrosomes. Inhibition studies show that this protein is essential for the correct localization of several centrosomal proteins, and for anchoring microtubules to the centrosome. Chromosomal aberrations involving this gene are associated with papillary thyroid carcinomas and a variety of hematological malignancies, including atypical chronic myeloid leukemia and T-cell lymphoma. Multiple transcript variants encoding different isoforms have been found for this gene."
rs727581_G	chr8	116650491	"EIF3H Description: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2:GTP:methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation."
kgp741070_T	chr21	33558967	"SON RefSeq Summary (NM_001291412): This gene encodes a protein that contains multiple simple repeats. The encoded protein binds RNA and promotes pre-mRNA splicing, particularly of transcripts with poor splice sites. The protein also recognizes a specific DNA sequence found in the human hepatitis B virus (HBV) and represses HBV core promoter activity. There is a pseudogene for this gene on chromosome 1."
kgp6979815_A	chr2	559199	AC093326.3
rs2697806_G	chr2	233360507	"DGKD RefSeq Summary (NM_152879): This gene encodes a cytoplasmic enzyme that phosphorylates diacylglycerol to produce phosphatidic acid. Diacylglycerol and phosphatidic acid are two lipids that act as second messengers in signaling cascades. Their cellular concentrations are regulated by the encoded protein, and so it is thought to play an important role in cellular signal transduction. Alternative splicing results in two transcript variants encoding different isoforms."
rs2991408_A	chr13	67900750	NA
rs10280625_C	chr7	41075387	NA
rs11045_T	chr15	96883321	NA
rs2991389_C	chr13	67883743	NA
rs1152843_T	chr3	188430230	"RefSeq Summary (NM_001167671): This gene encodes a member of a subfamily of LIM domain proteins that are characterized by an N-terminal proline-rich region and three C-terminal LIM domains. The encoded protein localizes to the cell periphery in focal adhesions and may be involved in cell-cell adhesion and cell motility. This protein also shuttles through the nucleus and may function as a transcriptional co-activator. This gene is located at the junction of certain disease-related chromosomal translocations, which result in the expression of chimeric proteins that may promote tumor growth. Alternative splicing results in multiple transcript variants."
rs4832868_A	chr4	37069574	NA
kgp7015129_A	chr3	188415807	"LPP RefSeq Summary (NM_001167671): This gene encodes a member of a subfamily of LIM domain proteins that are characterized by an N-terminal proline-rich region and three C-terminal LIM domains. The encoded protein localizes to the cell periphery in focal adhesions and may be involved in cell-cell adhesion and cell motility. This protein also shuttles through the nucleus and may function as a transcriptional co-activator. This gene is located at the junction of certain disease-related chromosomal translocations, which result in the expression of chimeric proteins that may promote tumor growth. Alternative splicing results in multiple transcript variants."
rs10875551_A	chr5	149173134	"ABLIM3 RefSeq Summary (NM_001301015): The LIM domain is a double zinc finger structure that promotes protein-protein interactions. LIM domain proteins, such as ABLIM3, play roles in embryonic development, cell lineage determination, and cancer (Krupp et al., 2006 [PubMed 16328021])."
rs9571757_A	chr13	67905237	NA
rs1251484_A	chr1	76504146	ST6GALNAC3 RefSeq Summary (NM_152996): ST6GALNAC3 belongs to a family of sialyltransferases that transfer sialic acids from CMP-sialic acid to terminal positions of carbohydrate groups in glycoproteins and glycolipids 
kgp6539253_C	chr17	66478316	"PRKCA RefSeq Summary (NM_002737): Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and the second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are known to be involved in diverse cellular signaling pathways. PKC family members also serve as major receptors for phorbol esters, a class of tumor promoters. Each member of the PKC family has a specific expression profile and is believed to play a distinct role in cells. The protein encoded by this gene is one of the PKC family members. This kinase has been reported to play roles in many different cellular processes, such as cell adhesion, cell transformation, cell cycle checkpoint, and cell volume control. Knockout studies in mice suggest that this kinase may be a fundamental regulator of cardiac contractility and Ca(2+) handling in myocytes."
rs11061079_T	chr12	131161445	NA
rs4676866_A	chr3	72273331	NA
rs2674948_A	chr17	13070021	NA
kgp6564839_T	chr7	22007489	NA
kgp592086_G	chr1	76522680	ST6GALNAC3 RefSeq Summary (NM_152996): ST6GALNAC3 belongs to a family of sialyltransferases that transfer sialic acids from CMP-sialic acid to terminal positions of carbohydrate groups in glycoproteins and glycolipids.
kgp1320229_A	chr1	76517472	ST6GALNAC3 RefSeq Summary (NM_152996): ST6GALNAC3 belongs to a family of sialyltransferases that transfer sialic acids from CMP-sialic acid to terminal positions of carbohydrate groups in glycoproteins and glycolipids.
kgp10371176_G	chr1	76518132	ST6GALNAC3 RefSeq Summary (NM_152996): ST6GALNAC3 belongs to a family of sialyltransferases that transfer sialic acids from CMP-sialic acid to terminal positions of carbohydrate groups in glycoproteins and glycolipids.
kgp7170224_T	chr1	76526867	ST6GALNAC3 RefSeq Summary (NM_152996): ST6GALNAC3 belongs to a family of sialyltransferases that transfer sialic acids from CMP-sialic acid to terminal positions of carbohydrate groups in glycoproteins and glycolipids.
kgp1376729_C	chr1	76527296	ST6GALNAC3 RefSeq Summary (NM_152996): ST6GALNAC3 belongs to a family of sialyltransferases that transfer sialic acids from CMP-sialic acid to terminal positions of carbohydrate groups in glycoproteins and glycolipids.
kgp5996166_T	chr1	76480114	ST6GALNAC3 RefSeq Summary (NM_152996): ST6GALNAC3 belongs to a family of sialyltransferases that transfer sialic acids from CMP-sialic acid to terminal positions of carbohydrate groups in glycoproteins and glycolipids.
rs1073525_A	chr10	46024620	"NCOA4 RefSeq Summary (NM_001145263): This gene encodes an androgen receptor coactivator. The encoded protein interacts with the androgen receptor in a ligand-dependent manner to enhance its transcriptional activity. Chromosomal translocations between this gene and the ret tyrosine kinase gene, also located on chromosome 10, have been associated with papillary thyroid carcinoma. Alternatively spliced transcript variants have been described. Pseudogenes are present on chromosomes 4, 5, 10, and 14."
kgp8017900_C	chr3	68466154	"FAM19A1 RefSeq Summary (NM_001252216): This gene is a member of the TAFA family which is composed of five highly homologous genes that encode small secreted proteins. These proteins contain conserved cysteine residues at fixed positions, and are distantly related to MIP-1alpha, a member of the CC-chemokine family. The TAFA proteins are predominantly expressed in specific regions of the brain, and are postulated to function as brain-specific chemokines or neurokines that act as regulators of immune and nervous cells."
rs17009077_G	chr3	71941154	NA
