SNP	SNP_Chr	SNP_Start	Number_genes	SNP_BIO
rs475882_G	chr13	96610811	1	HS6ST3 RefSeq Summary (NM_153456): Heparan sulfate (HS) sulfotransferases, such as HS6ST3, modify HS to generate structures required for interactions between HS and a variety of proteins. These interactions are implicated in proliferation and differentiation, adhesion, migration, inflammation, blood coagulation, and other diverse processes (Habuchi et al., 2000 [PubMed 10644753])
rs587985_C	chr11	119244095	1	CBL RefSeq Summary (NM_005188): This gene is a proto-oncogene that encodes a RING finger E3 ubiquitin ligase. The encoded protein is one of the enzymes required for targeting substrates for degradation by the proteasome. This protein mediates the transfer of ubiquitin from ubiquitin conjugating enzymes (E2) to specific substrates. This protein also contains an N-terminal phosphotyrosine binding domain that allows it to interact with numerous tyrosine-phosphorylated substrates and target them for proteasome degradation. As such it functions as a negative regulator of many signal transduction pathways. This gene has been found to be mutated or translocated in many cancers including acute myeloid leukaemia. Mutations in this gene are also the cause of Noonan syndrome-like disorder. 
rs10875366_A	chr1	101757864	1	M87901
kgp5872307_T	chr3	21870470	1	AK310298
rs1557397_C	chr18	75086743	1	nothing
kgp5237943_C	chr2	133349643	1	NCKAP5 The sequence shown here is derived from an Ensembl automatic analysis pipeline and should be considered as preliminary data.
kgp7135561_G	chr11	10392568	1	CAND1.11
kgp6246477_G	chr20	32737218	1	COMMD7 Description: Homo sapiens COMM domain containing 7 (COMMD7), transcript variant 2, mRNA. TISSUE SPECIFICITY: Widely expressed with highest expression in lung.
rs3826607_T	chr18	33766760	1	nothing
kgp4164025_A	chr8	116664938	1	EIF3H Description: Homo sapiens eukaryotic translation initiation factor 3, subunit H (EIF3H), mRNA.
rs992617_G	chr8	17996495	1	PCM1 RefSeq Summary (NM_006197): The protein encoded by this gene is a component of centriolar satellites, which are electron dense granules scattered around centrosomes. Inhibition studies show that this protein is essential for the correct localization of several centrosomal proteins, and for anchoring microtubules to the centrosome. Chromosomal aberrations involving this gene are associated with papillary thyroid carcinomas and a variety of hematological malignancies, including atypical chronic myeloid leukemia and T-cell lymphoma. Multiple transcript variants encoding different isoforms have been found for this gene.
rs727581_G	chr8	116650491	1	EIF3H Description: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2:GTP:methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation.
